Year,Region ,Total Population 16 Years and Older,Total Civilian Labor Force,Total Unemployed,Total Unemployment Rate,White Alone Population 16 Years and Older,White Alone Civilian Labor Force,White Alone Unemployed,White Alone Unemployment Rate,Black or African American Alone Population 16 Years and Older,Black or African American Alone Civilian Labor Force,Black or African American Alone Unemployed,Black or African American Alone Unemployment Rate,Asian Alone Population 16 Years and Older,Asian Alone Civilian Labor Force,Asian Alone Unemployed,Asian Alone Unemployment Rate,Hispanic or Latino Population 16 Years and Older,Hispanic or Latino Civilian Labor Force,Hispanic or Latino Unemployed,Hispanic or Latino Unemployment Rate
2018,New York State,15947439,10003172,494069,4.94,10294994,6459549,257658,3.99,2480330,1511711,122308,8.09,1399022,897668,39169,4.36,2839054,1803707,112365,6.23
2018,Capital Region,902653,570968,28886,5.06,774921,489283,21849,4.47,60924,37987,3747,9.86,36132,24007,,0,40541,27918,4036,14.46
2018,Central New York,635080,383679,21164,5.52,552622,339798,15295,4.5,46178,23424,3504,14.96,16890,9001,1098,12.2,22139,12688,1389,10.95
2018,Finger Lakes,983906,614359,26671,4.34,823449,518647,17532,3.38,98363,58086,7254,12.49,25826,15702,,0,60024,34669,2531,7.3
2018,Hudson Valley,1866222,1185852,56564,4.77,1343491,837070,35979,4.3,235376,151085,11687,7.74,89492,58310,2585,4.43,341379,233692,10022,4.29
2018,Long Island,2310386,1489263,55032,3.7,1758161,1118514,38137,3.41,221869,153413,9991,6.51,160131,103928,2160,2.08,382009,270307,9157,3.39
2018,Mohawk Valley,399291,230064,9257,4.02,360079,209952,7322,3.49,16986,8570,,0,8934,4215,,0,19393,12392,,0
2018,New York City,6836315,4339775,244125,5.63,2954688,1911846,80029,4.19,1653414,1003024,79958,7.97,1008285,651751,30076,4.61,1893717,1168462,80755,6.91
2018,North Country,342974,182795,7703,4.21,305283,168974,6804,4.03,16346,3333,,0,3750,2253,,0,13362,4958,,0
2018,Southern Tier,529216,310959,16345,5.26,470864,277753,13531,4.87,20243,9659,1012,10.48,20639,12555,,0,16834,10071,,0
